"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm"
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Cardioidea","Cardiidae","Acanthocardia","Acanthocardia echinata","Lymnocardiinae","Acanthocardiini",,,,,,,,,,"Acanthocardia echinata","B5C",1,2017,1,"B5",1,"Acanthocardia echinata","138992",138992,8
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Cardioidea","Cardiidae","Acanthocardia","Acanthocardia tuberculata","Lymnocardiinae","Acanthocardiini",,,,,,,,,,"Acanthocardia tuberculata","E4C",1,2016,4,"E4",4,"Acanthocardia tuberculata","381057",381057,33
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,"Acarina","E3D",2,2013,1,"E3",2,"Acarina sp","1349",1349,17
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,"Acarina","U1B",2,2013,8,"U1",16,"Acarina sp","1349",1349,133
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,"Acarina","B0B",1,2013,1,"B0",1,"Acarina sp","1349",1349,8
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,"Acarina","B5A",1,2013,8,"B5",8,"Acarina sp","1349",1349,67
"Animalia","Mollusca","Gastropoda","Patellogastropoda",,,,,"Lottioidea","Acmaeidae","Acmaea","Acmaea testudinalis",,,,,,,,,,,,"Acmaea testudinalis","B0A",1,2014,1,"B0",1,"Acmaea testudinalis","153536",153536,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete",,"Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete","B8B",1,2017,4,"B8",4,"Ampharete sp","129155",129155,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete",,"Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete","U1C",1,2013,1,"U1",1,"Ampharete sp","129155",129155,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete acutifrons","U1A",1,2013,1,"U1",1,"Ampharete acutifrons","129775",129775,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete acutifrons","E3B",1,2014,1,"E3",1,"Ampharete acutifrons","129775",129775,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete acutifrons","E3",14,1999,1,"E3",14,"Ampharete acutifrons","129775",129775,622
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,"Ampharete acutifrons","E4A",1,2017,4,"E4",4,"Ampharete acutifrons","129775",129775,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,,,,"Terebelliformia",,,,,,,,"Ampharetidae","E3C",1,2017,4,"E3",4,"Ampharetidae","981",981,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,,,,"Terebelliformia",,,,,,,,"Ampharetidae","E4C",1,2017,4,"E4",4,"Ampharetidae","981",981,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,,,,"Terebelliformia",,,,,,,,"Ampharetidae","A7C",1,2016,4,"A7",4,"Ampharetidae sp","981",981,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,"Ampharetinae",,,"Terebelliformia",,,,,,,,"Ampharetinae","B8",1,1999,1,"B8",1,"Ampharetinae sp","152252",152252,44
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,"Ampharetinae",,,"Terebelliformia",,,,,,,,"Ampharetinae","B5",4,1999,1,"B5",4,"Ampharetinae sp","152252",152252,178
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,"Ampharetinae",,,"Terebelliformia",,,,,,,,"Ampharetinae","C4",4,1999,1,"C4",4,"Ampharetinae sp","152252",152252,178
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae",,,"Ampharetinae",,,"Terebelliformia",,,,,,,,"Ampharetinae","A7",1,1999,1,"A7",1,"Ampharetinae sp","152252",152252,44
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"amphipoda","B5A",1,2013,8,"B5",8,"Amphipoda ungv.","1135",1135,67
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"amphipoda","U1C",1,2013,1,"U1",1,"Amphipoda ungv.","1135",1135,8
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"amphipoda","U1C",1,2013,4,"U1",4,"Amphipoda ungv.","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"amphipoda","U1B",1,2013,8,"U1",8,"Amphipoda ungv.","1135",1135,67
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4C",3,2016,4,"E4",12,"Amphipoda","1135",1135,100
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4A",1,2017,4,"E4",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4B",1,2017,4,"E4",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","C4C",1,2016,4,"C4",4,"Amphipoda","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","U1C",1,2013,1,"U1",1,"Amphipoda sp","1135",1135,8
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","B8B",3,2016,4,"B8",12,"Amphipoda","1135",1135,100
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4B",1,2016,1,"E4",1,"Amphipoda","1135",1135,8
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4B",11,2016,4,"E4",44,"Amphipoda","1135",1135,367
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3B",1,2014,4,"E3",4,"Amphipoda ungv.","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4A",6,2016,4,"E4",24,"Amphipoda","1135",1135,200
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3A",1,2017,4,"E3",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","C4B",1,2016,4,"C4",4,"Amphipoda","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","B8A",3,2017,4,"B8",12,"Amphipoda sp","1135",1135,100
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","A7B",1,2016,4,"A7",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3B",1,2017,4,"E3",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E4A",1,2017,1,"E4",1,"Amphipoda sp","1135",1135,8
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3C",1,2016,4,"E3",4,"Amphipoda","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","C4A",1,2017,4,"C4",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3C",1,2014,4,"E3",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","E3B",1,2015,4,"E3",4,"Amphipoda sp","1135",1135,33
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,"Amphipoda","B5A",7,2014,1,"B5",7,"Amphipoda sp","1135",1135,58
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite affinis","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite affinis","U1A",1,2013,1,"U1",1,"Amphitrite affinis","131472",131472,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3C",1,2017,1,"E3",1,"Amphitrite cirrata","131474",131474,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","U1A",1,2013,1,"U1",1,"Amphitrite cirrata","131474",131474,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3C",1,2014,4,"E3",4,"Amphitrite cirrata","131474",131474,33
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3C",1,2014,1,"E3",1,"Amphitrite cirrata","131474",131474,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3A",1,2015,1,"E3",1,"Amphitrite cirrata","131474",131474,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3C",1,2016,1,"E3",1,"Amphitrite cirrata","131474",131474,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3A",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,"Amphitrite cirrata","E3B",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25
"Animalia","Cnidaria","Anthozoa",,,,,,,,,,,,,,,,,,,,,"Anthozoa","E3A",1,2014,1,"E3",1,"Anthozoa","1292",1292,8
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,"Apistobranchus tullbergi","E3",5,1999,1,"E3",5,"Apistobranchus tullbergi","129851",129851,222
